ClienteID,Sexo,EstadoCivil,DomicilioDepartamento,DomicilioProvincia,DomicilioDistrito,FechaNacimiento,TipoPersona,VentaID
237319,masculino,soltero,arequipa,arequipa,cerro colorado,1975-01-03 00:00:00,persona natural,191291
237717,femenino,soltero,arequipa,arequipa,cerro colorado,1985-01-30 00:00:00,persona natural,191319
237782,femenino,soltero,la libertad,trujillo,trujillo,1951-05-14 00:00:00,persona natural,191352
237791,femenino,casado,arequipa,arequipa,arequipa - cercado,1990-10-05 00:00:00,persona natural,191362
237799,femenino,soltero,cuzco,cusco,wanchaq,1999-08-17 00:00:00,persona natural,191372
237799,femenino,soltero,cuzco,cusco,wanchaq,1999-08-17 00:00:00,persona natural,191373
237800,masculino,soltero,la libertad,trujillo,trujillo,1997-11-12 00:00:00,persona natural,191374
237862,masculino,casado,junin,huancayo,huancayo,1981-01-12 00:00:00,persona natural,191448
237867,masculino,casado,arequipa,arequipa,sachaca,1980-04-22 00:00:00,persona natural,191454
237865,femenino,soltero,la libertad,trujillo,moche,1978-07-24 00:00:00,persona natural,191475
237892,masculino,soltero,piura,piura,piura,1987-09-08 00:00:00,persona natural,191477
236744,masculino,casado,huanuco,huanuco,huanuco,1977-12-19 00:00:00,persona natural,191492
237913,femenino,soltero,moquegua,mariscal nieto,moquegua,1986-08-01 00:00:00,persona natural,191498
237916,masculino,conviviente,cajamarca,jaen,jaen,1977-04-18 00:00:00,persona natural,191502
237922,masculino,soltero,la libertad,viru,viru,1984-10-05 00:00:00,persona natural,191507
237909,masculino,soltero,la libertad,trujillo,huanchaco,1980-08-27 00:00:00,persona natural,191509
237936,femenino,soltero,junin,huancayo,huancayo,1992-09-01 00:00:00,persona natural,191520
237938,masculino,soltero,huanuco,huanuco,churubamba,1979-08-29 00:00:00,persona natural,191521
236213,masculino,soltero,la libertad,trujillo,trujillo,1992-09-19 00:00:00,persona natural,191539
237898,femenino,soltero,puno,san roman,juliaca,1995-09-22 00:00:00,persona natural,191541
237983,masculino,soltero,la libertad,pataz,tayabamba,1988-12-12 00:00:00,persona natural,191586
237985,masculino,soltero,la libertad,trujillo,victor larco herrera,1989-01-14 00:00:00,persona natural,191591
238010,masculino,soltero,cuzco,urubamba,urubamba,1968-02-05 00:00:00,persona natural,191617
238022,femenino,soltero,cuzco,la convencion,santa teresa,1987-06-02 00:00:00,persona natural,191630
238033,masculino,soltero,huanuco,leoncio prado,rupa rupa,1990-01-20 00:00:00,persona natural,191664
238053,masculino,casado,tacna,tacna,tacna,1960-10-07 00:00:00,persona natural,191680
235969,femenino,soltero,la libertad,trujillo,el porvenir,1992-01-08 00:00:00,persona natural,191685
237972,NO ESPECIFICA,"",arequipa,arequipa,paucarpata,1999-07-08 00:00:00,persona jurídica,191701
